taxId	scientific name	common name
214988	Siderastrea radians	lesser starlet coral
1046077	Pteronotropis grandipinnis	Apalachee shiner
218797	Lutjanus malabaricus	Malabar blood snapper
79627	Eudyptes chrysolophus	Macaroni penguin
46780	Devario malabaricus	giant danio
46780	Devario malabaricus	Malabar danio
630651	Bregmaceros atlanticus	antenna codlet
89673	Phyllostomus discolor	pale spear-nosed bat
8425	Sooglossus thomasseti	Thomasset's frog
8425	Sooglossus thomasseti	Thomasset's Seychelles frog
262136	Metriopelia morenoi	bare-eyed ground-dove
9317	Macropus giganteus	eastern gray kangaroo
356340	Liophryne rhododactyla	Owen Stanley land frog
120844	Melanotaenia fluviatilis	Murray River rainbowfish
280777	Brycinus imberi	spot-tail
1892326	Alticus simplicirrus	Marquesan rockstripper
221087	Miniopterus inflatus	greater long-fingered bat
703244	Notropis ortenburgeri	Kiamichi shiner
73327	Aegithalos caudatus	Long-tailed Tit
73327	Aegithalos caudatus	Northern long-tailed tit
242813	Stethojulis interrupta	cutribbon wrasse
1240563	Tetrosomus reipublicae	smallspine turretfish
1503185	Haludaria fasciata	melon barb
368974	Pristimantis ockendeni	Carabaya robber frog
1316012	Acanthurus leucocheilus	pale lipped surgeonfish
1316012	Acanthurus leucocheilus	palelipped surgeonfish
215432	Lycodes esmarkii	greater eelpout
364766	Physalaemus barrioi	Bocaina dwarf frog
580875	Apogon smithi	Smith's cardinalfish
214669	Ramphodon naevius	saw-billed hermit
586870	Valenciennea longipinnis	long-finned goby
1196307	Corvus ruficollis	brown-necked raven
76772	Callospermophilus lateralis	golden-mantled ground squirrel
143656	Phrynomantis bifasciatus	red-banded rubber frog
143656	Phrynomantis bifasciatus	banded rubber frog
143656	Phrynomantis bifasciatus	red-banded frog
143656	Phrynomantis bifasciatus	two-striped frog
143656	Phrynomantis bifasciatus	South African snake-necked frog
1819256	Encheliophis vermiops	pygmy pearlfish
154825	Thoburnia rhothoeca	torrent sucker
2163411	Quadrula petrina	Texas pimpleback
1183110	Symphurus ommaspilus	ocellated tounguefish
229056	Lagocephalus inermis	smooth blaasop
685765	Crocidura negrina	Negros shrew
167804	Aldabrachelys gigantea	Aldabra giant tortoise
167804	Aldabrachelys gigantea	Aldabra tortoise
118565	Pennahia argentata	silver croaker
214921	Cottus rhotheus	torrent sculpin
630657	Coelorinchus caelorhincus	hollowsnout grenadier
195335	Sphyrna zygaena	smooth hammerhead
34790	Chionodraco rastrospinosus	ocellated icefish
253445	Hemphillia malonei	Malone's jumping slug
990593	Halieutaea coccinea	scarlet seabat
294743	Setophaga graciae	Grace's warbler
258940	Myotis siligorensis	Himalayan whiskered bat
238553	Hypophthalmus edentatus	highwaterman catfish
1903082	Allobates olfersioides	Alagoas rocket frog
1214922	Stylatula elongata	slender sea pen
1647159	Nectamia similis	similar cardinalfish
1081694	Pipistrellus ceylonicus	Kelaart's pipistrelle
69300	Gazella bennettii	Indian gazelle
69300	Gazella bennettii	chinkara
904203	Kinosternon sonoriense	Sonoran mud turtle
33612	Cathartes burrovianus	lesser yellow-headed vulture
867366	Sapajus nigritus	Black capuchin
374617	Eurillas gracilis	Grey greenbul
365054	Ilisha elongata	elongate ilisha
392921	Monacanthus chinensis	fan-bellied leatherjacket
