,x,y,z,phylum,kingdom,superkingdom,class,phylum_eng,kingdom_eng,superkingdom_eng,class_eng
Monoplacophora,8766.56765350948,-39553.13340798397,2774.973287484958,Mollusca,Metazoa,Eukaryota,Monoplacophora,molluscs,multicellular animals,eukaryotes,Monoplacophora
Mucoromycetes,20082.72005710136,2805.4277423932544,-35779.86044375462,Mucoromycota,Fungi,Eukaryota,Mucoromycetes,Mucoromycota,Fungi,eukaryotes,Mucoromycetes
Mystacocarida|mustache shrimps,20650.122018703336,-34161.553300346575,-12626.667247743422,Arthropoda,Metazoa,Eukaryota,Mystacocarida,arthropods,multicellular animals,eukaryotes,mustache shrimps
Myxini|hagfishes,-4026.2352233723423,-31124.74134512276,-20133.956237437444,Chordata,Metazoa,Eukaryota,Myxini,chordates,multicellular animals,eukaryotes,fishes
Myxozoa,23281.077819867,-33154.77527183689,3196.254327272556,Cnidaria,Metazoa,Eukaryota,Myxozoa,coelenterates,multicellular animals,eukaryotes,Myxozoa
Neocallimastigomycetes,42012.60423949787,-985.312807162878,-9267.051559819498,Chytridiomycota,Fungi,Eukaryota,Neocallimastigomycetes,Chytridiomycota,Fungi,eukaryotes,Neocallimastigomycetes
Neolectomycetes,32602.2919119698,4918.739495194768,-25184.2376385324,Ascomycota,Fungi,Eukaryota,Neolectomycetes,ascomycetes,Fungi,eukaryotes,Neolectomycetes
Oedipodiopsida,-31344.032677018564,14673.545837370651,-16194.52273840615,Streptophyta,Viridiplantae,Eukaryota,Oedipodiopsida,Streptophyta,green plants,eukaryotes,Oedipodiopsida
Oligohymenophorea,17282.93503072426,30702.74938942072,17927.29181779606,Ciliophora,,Eukaryota,Oligohymenophorea,ciliates,,eukaryotes,Oligohymenophorea
Ophiuroidea|brittle stars,-4686.194228981186,-36211.38598256712,-12540.958473817976,Echinodermata,Metazoa,Eukaryota,Ophiuroidea,echinoderms,multicellular animals,eukaryotes,brittle stars
Orbiliomycetes,35054.49415461672,383.8729757016954,-24660.3203202342,Ascomycota,Fungi,Eukaryota,Orbiliomycetes,ascomycetes,Fungi,eukaryotes,Orbiliomycetes
Ostracoda|mussel shrimps,18365.18488501006,-36173.20930950753,-12782.546058045118,Arthropoda,Metazoa,Eukaryota,Ostracoda,arthropods,multicellular animals,eukaryotes,mussel shrimps
Palmophyllophyceae,-17914.405993106106,30495.434862258804,-13365.839826898737,Chlorophyta,Viridiplantae,Eukaryota,Palmophyllophyceae,green algae,green plants,eukaryotes,Palmophyllophyceae
Pauropoda|pauropods,18059.07492353461,-33644.0078941016,-15739.72812163374,Arthropoda,Metazoa,Eukaryota,Pauropoda,arthropods,multicellular animals,eukaryotes,pauropods
Pelagophyceae|pelagophytes,-3664.781212608669,4980.644147892137,36906.46830087963,,,Eukaryota,Pelagophyceae,,,eukaryotes,pelagophytes
Pezizomycetes,36211.94967381313,-1512.855023723525,-23948.936898246942,Ascomycota,Fungi,Eukaryota,Pezizomycetes,ascomycetes,Fungi,eukaryotes,Pezizomycetes
Phaeophyceae|brown algae,-8587.17670412159,11556.36638863222,32360.121527485582,,,Eukaryota,Phaeophyceae,,,eukaryotes,brown algae
Phaeothamniophyceae,-7675.012347320128,12932.964529191744,31919.49574300123,,,Eukaryota,Phaeothamniophyceae,,,eukaryotes,Phaeothamniophyceae
Phyllopharyngea,13424.099312595315,31960.54374329772,17311.06455567907,Ciliophora,,Eukaryota,Phyllopharyngea,ciliates,,eukaryotes,Phyllopharyngea
