,x0,xup,y0,yup,z0,zup
branch_Thinocoridae,-0.08858859072836392,-0.09017540218093854,-0.6874229139336635,-0.6884610877802053,-0.7132551882875803,-0.7142884745689294
branch_Bucerotiformes,-0.09215485068381753,-0.09181174140676228,-0.691727422767485,-0.6917928080566398,-0.7134516075141498,-0.7141324662913081
branch_63,-0.09127453902698483,-0.09181174140676228,-0.691893047841885,-0.6917928080566398,-0.7145884304079246,-0.7141324662913081
branch_64,-0.09417098824488311,-0.09326790055897145,-0.6958162625337101,-0.6949769968943786,-0.7157074063863348,-0.7158108356693156
branch_65,-0.09227275614719851,-0.09326790055897145,-0.6949755075342801,-0.6949769968943786,-0.7157935564104173,-0.7158108356693156
branch_Psittacidae,-0.09026479522859829,-0.08972112952861822,-0.6893082694772539,-0.6898804240773838,-0.7198665185085713,-0.7194006840196131
branch_Psittaculidae,-0.08913869012743567,-0.08972112952861822,-0.6904482070039033,-0.6898804240773838,-0.7189520852963254,-0.7194006840196131
branch_66,-0.09113487966902421,-0.09148519549245626,-0.6898762661193052,-0.6894475130091052,-0.7156220943548474,-0.7158260268764411
branch_Threskiornithidae,-0.09083152146252806,-0.09148519549245626,-0.687989508788975,-0.6894475130091052,-0.7158844539247146,-0.7158260268764411
branch_67,-0.09095383421488651,-0.09131492188835282,-0.6890199190364845,-0.6895407130546992,-0.7159580142614459,-0.7162293294135431
branch_Fregatidae,-0.08767016158219902,-0.09131492188835282,-0.6876122386878828,-0.6895407130546992,-0.7165749804387593,-0.7162293294135431
branch_Hydrobatidae,-0.09044444187456177,-0.09150551320215394,-0.6873937722726573,-0.688966381497139,-0.7181848818241499,-0.7173260983283132
branch_Procellariidae,-0.0902587802579436,-0.09150551320215394,-0.6882842157534232,-0.688966381497139,-0.717415607449971,-0.7173260983283132
branch_68,-0.09134925415572083,-0.09215485068381753,-0.6923769389819551,-0.691727422767485,-0.7121009993350286,-0.7134516075141498
branch_69,-0.09171453134405284,-0.09215485068381753,-0.6913937928450726,-0.691727422767485,-0.7128918042913139,-0.7134516075141498
